"","templateName","token","occurances"
"1","'Dat Ass","a",21
"2","'Dat Ass","and",13
"3","'Dat Ass","ass",226
"4","'Dat Ass","click",11
"5","'Dat Ass","dat",301
"6","'Dat Ass","datass",34
"7","'Dat Ass","is",11
"8","'Dat Ass","kb",11
"9","'Dat Ass","of",18
"10","'Dat Ass","the",33
"11","'Dat Ass","to",33
"12","'Dat Ass","view",12
"13","[10] Guy","a",47
"14","[10] Guy","are",23
"15","[10] Guy","how",20
"16","[10] Guy","in",20
"17","[10] Guy","is",22
"18","[10] Guy","like",27
"19","[10] Guy","the",41
"20","[10] Guy","to",35
"21","[10] Guy","what",20
"22","[10] Guy","you",62
"23","[10] Guy","your",23
"24","Ancient Aliens","a",62
"25","Ancient Aliens","aliens",204
"26","Ancient Aliens","and",70
"27","Ancient Aliens","history.com",176
"28","Ancient Aliens","it",61
"29","Ancient Aliens","of",54
"30","Ancient Aliens","that",60
"31","Ancient Aliens","the",149
"32","Ancient Aliens","to",72
"33","Ancient Aliens","was",66
"34","Annoying Facebook Girl","a",77
"35","Annoying Facebook Girl","and",63
"36","Annoying Facebook Girl","i",49
"37","Annoying Facebook Girl","in",43
"38","Annoying Facebook Girl","like",63
"39","Annoying Facebook Girl","my",40
"40","Annoying Facebook Girl","on",42
"41","Annoying Facebook Girl","the",63
"42","Annoying Facebook Girl","to",58
"43","Annoying Facebook Girl","you",47
"44","Bad Luck Brian","a",226
"45","Bad Luck Brian","and",69
"46","Bad Luck Brian","by",53
"47","Bad Luck Brian","for",68
"48","Bad Luck Brian","gets",161
"49","Bad Luck Brian","in",119
"50","Bad Luck Brian","of",83
"51","Bad Luck Brian","on",72
"52","Bad Luck Brian","the",192
"53","Bad Luck Brian","to",241
"54","Based God","a",9
"55","Based God","based",99
"56","Based God","do",9
"57","Based God","fuck",13
"58","Based God","fucked",10
"59","Based God","god",77
"60","Based God","i",16
"61","Based God","my",17
"62","Based God","thank",67
"63","Based God","to",12
"64","Based God","you",84
"65","Based God","your",9
"66","Big Chungus","a",36
"67","Big Chungus","and",26
"68","Big Chungus","big",41
"69","Big Chungus","by",29
"70","Big Chungus","chungus",61
"71","Big Chungus","i",26
"72","Big Chungus","in",28
"73","Big Chungus","of",32
"74","Big Chungus","the",70
"75","Big Chungus","to",32
"76","Ermahgerd","a",50
"77","Ermahgerd","and",29
"78","Ermahgerd","berks",38
"79","Ermahgerd","ermahgerd",159
"80","Ermahgerd","i",29
"81","Ermahgerd","is",31
"82","Ermahgerd","mah",34
"83","Ermahgerd","of",43
"84","Ermahgerd","the",62
"85","Ermahgerd","to",40
"86","First World Problems","a",93
"87","First World Problems","and",78
"88","First World Problems","have",66
"89","First World Problems","i",176
"90","First World Problems","in",69
"91","First World Problems","is",77
"92","First World Problems","my",154
"93","First World Problems","of",61
"94","First World Problems","the",206
"95","First World Problems","to",230
"96","Grumpy Cat","0",64
"97","Grumpy Cat","a",78
"98","Grumpy Cat","cat",68
"99","Grumpy Cat","grumpy",75
"100","Grumpy Cat","i",90
"101","Grumpy Cat","my",55
"102","Grumpy Cat","no",71
"103","Grumpy Cat","the",140
"104","Grumpy Cat","to",95
"105","Grumpy Cat","you",119
"106","Joseph Ducreux / Archaic Rap","a",396
"107","Joseph Ducreux / Archaic Rap","and",243
